"سلام","علیک سلام","سلام چطوری","سلام خوبی","سلام","بفرمایید امرتون"
"خوبی","خوبم ممنون","ممنون تو چطوری","مرسی امرتون؟","تنکس"
"چطوری","خوبم ممنون","عالییی"
"چه خبر","سلامتی شما چه خبر","سلامتی"
"سلامتی","امرتون؟"
"بستنی معجون دارید؟","بله چقدر میخوای"
"دو کیلو","انجام شد چیز دیگه ای لازم دارید؟"
"یک کیلو موز میخواستم","انجام شد چیز دیگه ای لازم دارید؟"
"دو تا چیپس میخوام","چه طعمی؟"
"سرکه نمکی","انجام شد چیز دیگه ای لازم دارید؟"
"سه کیلو سیب زمینی لطفا.","انجام شد چیز دیگه ای لازم دارید؟"
"خیر ممنون","خواهش میکنم ارسال میشه براتون :)"
"سیب زمینی دارید؟","بله چند کیلو میخواید؟"
"سبزی دارید","متاسفانه خیر چیز دیگه ای لازم دارید؟"
"یک کیلو گوجه میخوام","انجام شد چیز دیگه ای لازم دارید؟"
"خیر","ارسال میشه براتون :)"
"نه","ارسال میشه براتون :)"
"نه تمامه","ارسال میشه براتون :)"
"چهارتا بستنی قیفی لطفا","انجام شد چیز دیگه ای لازم دارید؟"
"یک کیلو موز میخواستم","بله یادداشت شد سفارش بعدی"
"کچاپ","بله یادداشت شد سفارش بعدی"
"سرکه ای","بله یادداشت شد سفارش بعدی"
"سه کیلو سیب زمینی لطفا.","بله یادداشت شد سفارش بعدی"
"گوجه دارید؟","بله چقدر میخوای؟"
"سیب زمینی دارید؟","بله چند کیلو بزارم براتون"
"سبزی دارید","بله چقدر میخوای؟"
"یک کیلو گوجه میخوام","بله یادداشت شد سفارش بعدی"
"خیر","منتظر سفارشات بعدیتون هستیم :)"
"نه","منتظر سفارشات بعدیتون هستیم :)"
"نه تمامه","منتظر سفارشات بعدیتون هستیم :)"
"تمام","منتظر سفارشات بعدیتون هستیم :)"
"پایان","منتظر سفارشات بعدیتون هستیم :)"
"خداحافظ","خداحافظ به امید دیدار"
"خدانگهدار","خداحافظ به امید دیدار"
"بای","خداحافظ به امید دیدار"
"گود بای","خداحافظ به امید دیدار"
"خداحافظ","امیدوارم از خدمات ما راضی باشید خدانگهدار"
"خدانگهدار","امیدوارم از خدمات ما راضی باشید خدانگهدار"
"بای","امیدوارم از خدمات ما راضی باشید خدانگهدار"
"گود بای","امیدوارم از خدمات ما راضی باشید خدانگهدار"
"دوتا","بله یادداشت شد سفارش بعدی","انجام شد چیز دیگه ای لازم دارید؟"
"سه بسته لطفا","بله یادداشت شد سفارش بعدی","انجام شد چیز دیگه ای لازم دارید؟"
"چهارتا بستنی قیفی لطفا","بله یادداشت شد سفارش بعدی"
"پاستیل دارید","بله چقدر لازم داری؟"
"چه طعمی؟","سرکه و کچاپ و فلفلی و نمکی (انتخاب کنید)"
"نوشابه میخوام","در خدمتم چند تا ؟"